TAXREF17;TAXREF17
CD_REF;NOM LATIN
610701;Anacyclus homogamos
610702;Anacyclus monanthos
719219;Anacyclus monanthos subsp. cyrtolepidioides
82315;Anacyclus radiatus
718304;Anacyclus radiatus subsp. radiatus
82315;Anacyclus valentinus
610908;Lysimachia tyrrhenia
610910;Lysimachia minima
107085;Lysimachia tenella
82350;Anagyris foetida
82353;Anaphalis margaritacea
82356;Anarrhinum bellidifolium
82357;Anarrhinum corsicum
610704;Anarrhinum laxiflorum
107027;Lycopsis arvensis
82376;Anchusa crispa
907646;Anchusa crispa subsp. crispa
907647;Anchusa crispa subsp. valincoana
82378;Anchusa gmelinii
996770;Anchusa undulata subsp. granatensis
618756;Anchusa azurea
82390;Anchusa ochroleuca
82391;Anchusa officinalis
82398;Anchusa procera
82379;Anchusa hybrida
;
82411;Anchusa x tauschii
160449;Anchusella cretica
82414;Andrachne telephioides
82420;Andromeda polifolia
82439;Andropogon distachyos
;
86169;Andropogon provincialis
610708;Andropogon virginicus
82476;Androsace adfinis
82476;Androsace adfinis
82487;Androsace brigantiaca
82528;Androsace puberula
82478;Androsace alpina
82476;Androsace laggeri
82492;Androsace chaixii
82493;Androsace chamaejasme
82494;Androsace ciliata
82495;Androsace cylindrica
82495;Androsace cylindrica
82495;Androsace cylindrica
82498;Androsace elongata
82498;Androsace elongata
82503;Androsace halleri
82504;Androsace helvetica
82509;Androsace lactea
82511;Androsace laggeri
82516;Androsace maxima
82519;Androsace obtusifolia
82494;Androsace helvetica
82531;Androsace pyrenaica
82492;Androsace chaixii
82478;Androsace alpina
82493;Androsace chamaejasme
82545;Androsace vitaliana
82545;Androsace vitaliana
82545;Androsace vitaliana
82547;Androsace x ebneri
82549;Androsace x heerii
82550;Androsace x hybrida
82562;Andryala integrifolia
82571;Andryala ragusina
82582;Andryala x brievaensis
82600;Anemone baldensis
139512;Pulsatilla alpina subsp. alpina
139513;Pulsatilla alpina subsp. apiifolia
139512;Pulsatilla alpina subsp. alpina
139512;Pulsatilla alpina subsp. alpina
139512;Pulsatilla alpina subsp. alpina
82598;Anemone apennina
82600;Anemone baldensis
610709;Anemone blanda
82607;Anemone coronaria
116448;Pulsatilla halleri
139518;Pulsatilla halleri subsp. halleri
101253;Hepatica nobilis
82623;Anemone hortensis
;
131397;Anemone hortensis subsp. hortensis
131398;Anemone hortensis subsp. pavonina
965524;Eriocapitella hupehensis
965525;Eriocapitella japonica
116450;Pulsatilla montana
82591;Anemonastrum narcissiflorum
965458;Anemonastrum narcissiflorum subsp. narcissiflorum
82637;Anemone nemorosa
82642;Anemone palmata
116448;Pulsatilla vulgaris
;
116460;Pulsatilla vulgaris
